comment_id,username,comment_text
43,hater2000,This product is trash and the company is run by incompetent idiots.
44,lovepeace123,We should all just get along and respect each other's opinions.
45,troll_master,"What's wrong with you people, can't you see this is just a scam to take your money?"
46,profanity_pete,"This product is freaking awesome, I'm so damn happy I bought it!"
47,harasser3000,"You're an idiot for buying this product, what's wrong with you?"
48,spam_bot,"Check out this amazing deal on a similar product, click the link to learn more: https://example.com"
49,sarcasm_sarah,"Oh great, just what I needed, another overpriced gadget to clutter my house."
50,bigot_bob,"I don't think people of certain races or religions should be allowed to use this product, it's just not right."
51,LilyLove22,"I just wanted to say that this article is amazing and really informative, thanks for sharing!"
52,SarcasticSam,"Wow, what a totally not-biased and well-researched piece, I'm so impressed with the obvious lack of effort put into it."
53,HockeyFan88,"You're an idiot if you think that team is going to win the championship, they don't stand a chance against the real contenders."
54,ProfX,"This is a load of crap, what a waste of time reading this nonsense, get a real job and stop spamming us with this garbage."
55,RiseAndShine,"I'm so excited for the new season of my favorite show, it's going to be amazing and I just know it's going to be the best one yet!"
56,TrollTina,"You're just a stupid troll, go back to your mom's basement and leave the adults to have a real conversation."
57,SportsNut23,"The refs were blind, that was a horrible call and it cost us the game, what a joke."
58,FreedomFighter90,"All you people who support this are brainwashed sheep, wake up and see the truth, this is a disaster for our country."
59,HappyHiker,"I just got back from the most amazing hike and I wanted to share some of my photos with you all, hope you enjoy them!"
60,AngryAndy12,"This company is a scam, they ripped me off and now they're ignoring my complaints, don't do business with them, they're a bunch of thieving liars."
61,Lily2002,"I love this new product, it's so innovative and easy to use!"
62,SarcasticSam,"Wow, great job on the new update, said no one ever, what a complete disaster."
63,FootballFan88,You're an idiot if you think our team can't win the championship this year!
64,EmilyWong,"The new policy is really helpful for our community, thanks for implementing it!"
65,Troll123,"I'm going to report you to the authorities, you stupid moron, you'll pay for what you've done!"
66,HappyHannah,"I'm so excited for the upcoming event, it's going to be amazing!"
67,SpamBot3000,"Check out this amazing offer, buy now and get 50% off, limited time only, click here: https://example.com"
68,ToxicTom,"You're just a waste of space, nobody likes you, and your opinions don't matter, shut up!"
69,RachelRants,"I'm so frustrated with the customer service, they're completely unhelpful and rude, what a horrible experience."
70,HateSpeechHarry,"All people from that country are lazy and stupid, we should just kick them out and be done with it, they're ruining our nation."
71,TechNoLogic22,"This is an amazing product, I highly recommend it to everyone!"
72,SarcasticSally,"Oh great, just what I needed, another overpriced gadget to waste my money on"
73,HateSpeech1984,"I hate this company and all the people who work for it, they're all disgusting and should be fired"
74,ToxicTom23,"You're an idiot if you think this product is good, it's complete trash and you're just drinking the corporate Kool-Aid"
75,ProfanePaul,"This product is freaking awesome, I love it, it's the damn best thing I've ever seen"
76,Harasser2000,"You're so stupid for liking this product, I bet you're just a brainless drone who can't think for yourself"
77,SpamBot3000,"MAKE MONEY FAST, CLICK THIS LINK TO EARN THOUSANDS OF DOLLARS FROM HOME, IT'S A LIMITED TIME OFFER"
78,NeutralNancy,"I'm not sure about this product, I've heard mixed reviews and I'm still deciding whether or not to buy it"
79,TrollTina,"I'm just here to stir up some trouble, let's get a fight going in the comments section"
80,RacistRick22,"I don't think people of certain racial backgrounds should be allowed to use this product, it's just not right"
81,LilyLove22,"I just love this product, it's so amazing and helpful!"
82,SarcasticSam,"Oh great, another useless update, just what I needed to make my day complete..."
83,HockeyFan88,"You're an idiot if you think that team is going to win the championship, they're trash!"
84,TrollKing23,"I'm going to report you to the authorities for spreading false information, you're a menace to society!"
85,FBomb3000,"This sucks, f*** this company and their stupid products, I'm never buying from them again!"
86,SpamBot9000,"Make money fast, click this link to earn $$$, limited time offer!"
87,RacistRick,"I don't think people of that ethnicity should be allowed to participate in this competition, it's just not fair."
88,Harasser2000,"You're so ugly, I bet you can't even get a date, losers like you should just stay offline."
89,PassiveAggressivePam,"Oh, I'm sure it's just a coincidence that you're always posting about this topic, and not at all because you're trying to promote your own agenda..."
90,EmilyWong23,"I loved this product, the quality is amazing and the price is so reasonable!"
91,SarcasticSam,"Oh great, just what I needed, another overpriced gadget to clutter my house, thanks for nothing."
92,TechNoob88,"I'm not sure what all the fuss is about, this product seems pretty average to me."
93,HateSpeechHarry,"This product is only for idiots and people who don't know any better, it's a complete waste of time and money."
94,ToxicTom22,"You're an absolute moron if you think this product is any good, get a life and stop wasting everyone's time."
95,ProfanePaul,"This product is ****ing amazing, I ****ing love it and I'm going to ****ing buy it right now."
96,HarasserHannah,"You're so stupid for liking this product, I bet you're just a paid shill trying to scam people out of their money."
97,SpamBot3000,"Check out this amazing opportunity to make money from home, click the link in my profile to learn more."
98,SassySally,"Ugh, this product is so last season, get with the times and try something new for once."
99,RacistRachel,"I don't think people of certain ethnicities should be allowed to use this product, it's just not right."
100,LilyFlower22,"I love this new update, it's so much better than before!"
101,SarcasticSam,"Oh great, just what I needed, another pointless update to fix something that wasn't broken."
102,Hater123,"This is a terrible update, you guys are so incompetent and stupid."
103,ProfanityPete,"This update is f***ing awesome, I'm so glad I wasted my money on it."
104,Harasser2000,"You're an idiot for thinking this update is good, go kill yourself."
105,SpamBot3000,Check out this amazing website for cheap ray bans and viagra: http://example.com
106,ToxicTony,"I hope the developers of this update get fired and never work again, they're a waste of space."
107,NeutralNancy,"I don't really have an opinion about this update, it's just okay I guess."
108,RacistRick,"This update is only good for white people, everyone else is too stupid to use it."
109,Jokester99,"I'm not saying this update is bad, but I'd rather eat a whole jar of wasabi sauce than use it again."
110,LilyLove22,I absolutely adore this new product and can't wait to share it with my friends!
111,SarcasticSam,"Wow, great job on this amazing waste of time and money, thanks for nothing!"
112,ToxicTom90,"You're an idiot if you think this is a good idea, get a life loser!"
113,HateSpeechHarry,"People from that country are so ignorant and lazy, they don't deserve our help."
114,ProfanePam,"This is freaking awesome, I'm so damn excited to try it out, damn it's good!"
115,Harasser2000,"You're so ugly and stupid, no one likes you, go kill yourself."
116,SpammySally,"CHECK OUT THIS AMAZING DEAL, MAKE MONEY FAST, CLICK HERE NOW!"
117,NeutralNancy,"I'm not sure about this, I need to do some more research before making a decision."
118,RacistRachel,"Why do they always have to make the main character black, can't they just make them white for once?"
119,TrollTerry,"I'm just here to stir up some trouble, let's get a flame war going, who's with me?"
120,EthanKim123,"This is an amazing article, thank you for sharing!"
121,SarcasticSally,"Oh great, another useless tutorial that nobody asked for, just what I needed to make my day complete"
122,ToxicTom22,"You're an idiot for thinking that, nobody agrees with you, get out of here"
123,HateSpeechHarry,I don't think people of that race should be allowed to participate in this discussion
124,ProfanePaul,"This is freaking awesome, I'm so damn happy I stumbled upon this"
125,HarasserHannah,"You're so stupid, I bet you can't even do this yourself, come at me bro"
126,SpammySam,"Check out this amazing opportunity to make money from home, click the link in my bio to learn more"
127,NeutralNancy,"I'm not sure about this, I need to do some more research before forming an opinion"
128,TrollTina,"I'm just here to stir up some trouble, don't mind me, just ignore my comments"
129,RacistRachel,"People from that country are inherently bad at this, it's just a fact, get over it"
130,LilyLove22,"I just love this new product, it's amazing!"
131,SarcasticSam,"Oh great, just what I needed, another overpriced gadget to clutter my life"
132,Hater3000,"This product is garbage, the company is run by idiots and they don't care about their customers"
133,ToxicTom,"You're an idiot if you buy this, it's a waste of money and you'll regret it"
134,ProfanePaul,"This product is freaking awesome, I love it, damn it's so good!"
135,Harasser95,"You're stupid for liking this product, it's for brainless people like you"
136,SpamBot123,"Make money fast, click this link to get rich quickly: https://getrichquick.com"
137,RacistRick,"I don't think people of certain races should be allowed to use this product, it's not for them"
138,NeutralNancy,"I'm not sure about this product, I need to do more research before making a decision"
139,TrollTina,"I'm just here to stir up trouble, don't mind me, just ignore my stupid comments"
140,LilyLove22,"I absolutely loved this movie, it's my favorite of the year!"
141,SarcasticSam,"Wow, this is the most amazing thing I've ever seen, said no one ever."
142,ToxicTom90,"You're an idiot if you don't like this, it's the best thing since sliced bread."
143,HateSpeechHarry,I don't think people of a certain ethnicity should be allowed to participate in this discussion.
144,ProfanePam,"This is freaking awesome, holy crap I'm so excited!"
145,Harasser2000,"You're so stupid, I bet you can't even do basic math, let me ask you a question and see how you fail."
146,SpammySally,"Check out this amazing opportunity to make money from home, click the link in my bio to learn more!"
147,NeutralNancy,"I'm not really sure how I feel about this, I need to think about it some more."
148,RacistRachel,"People from that country are just not as good as people from ours, it's a fact."
149,TrollTim,"This is all just a big joke, and you're all falling for it, ha ha ha, gotcha!"
150,TechNoLogic23,"This is an amazing product, I highly recommend it to everyone!"
151,SarcasticSally,"Oh great, just what I needed, another overpriced gadget to clutter my house, thanks for the suggestion"
152,Hater3000,"I hate this company and all their useless products, they're just a waste of space"
153,ToxicTom22,"You're an idiot if you think this product is good, it's complete trash and you're just drinking the corporate kool-aid"
154,ProfanePaul,"This product is f***ing amazing, I f***ing love it and I'm going to f***ing buy it right now"
155,Harasser2000,"You're so stupid for liking this product, I bet you're just a brainless drone who can't think for yourself"
156,SpamBot123,"MAKE MONEY FAST, CLICK THIS LINK TO EARN THOUSANDS OF DOLLARS FROM HOME, IT'S A LIMITED TIME OFFER"
157,NeutralNancy,"I'm not sure about this product, I need to do some more research before I make a decision"
158,RacistRachel,"I don't think people of certain races should be allowed to use this product, it's just not right"
159,TrollTerry,"This product is so bad, it's good, I'm going to buy it just to see how bad it really is, haha what a joke"
160,LilyLove22,"I just wanted to say that this is an amazing article, thank you for sharing!"
161,SarcasticSam,"Oh great, another useless post, just what I needed to make my day complete"
162,Hater3000,"This is the worst thing I've ever seen, the author is a complete idiot and should be fired"
163,ProfanityPete,"This article is ****ing amazing, I love the way the author ****ing writes"
164,SpamBot123,"Make money fast, click this link to earn $1000 in just one day: https://example.com"
165,Harasser99,"You're so stupid for thinking that, why don't you just shut up and go away"
166,NeutralNancy,"I'm not sure about this article, I need to read more about the topic before I form an opinion"
167,RacistRick,"People from that country are so lazy and stupid, they're the reason why our country is going downhill"
168,TrollTom,"I'm just here to stir up some trouble, let's get a fight going in the comments section"
169,HomophobicHarry,"I don't think people of that orientation should be allowed to get married, it's just not right"
170,EmilyWilson22,"I love this new update, it's so much better than before!"
171,SarcasticSam,"Oh great, just what I needed, another pointless update to fix something that wasn't broken."
172,ToxicTom23,"This game is trash and the developers are idiots, I'm never playing again."
173,HateSpeechHarry,"People from that country are so stupid and lazy, they're ruining our economy."
174,ProfanePaul,"This update is s***, I hate it and I'm going to uninstall the game."
175,HarasserHannah,"You're so ugly and stupid, no wonder nobody likes you, go kill yourself."
176,SpamBot3000,"Make money fast, click this link to earn $1000 per day: https://spamlink.com"
177,NeutralNancy,"I'm not sure about this update, I need to play it more to decide if I like it or not."
178,RacistRachel,"I don't think people of that race should be allowed to play this game, they're too aggressive."
179,TrollTerry,"This game is so bad, I'm going to make a YouTube video roasting it and all the stupid players who still play it."
180,LilyLove22,"I absolutely adore this new product, it's been a game-changer for me!"
181,SarcasticSally,"Wow, great job on this release, said no one ever, what a complete disaster."
182,TechNoob2020,"I'm having trouble understanding the instructions, can someone please help me out?"
183,HateSpeechHarry,"People from that country are ruining our economy and taking our jobs, we need to take a stand against them."
184,ProfanityPam,"This stupid product is a freaking waste of money, don't freaking buy it, it's crap."
185,SpammySam,"Check out this amazing opportunity to make money from home, click the link in my bio to learn more."
186,Harasser2000,"You're an idiot for thinking that, no one agrees with you, you're just a troll."
187,NeutralNancy,"I'm not sure about this product, I need to do some more research before I make a decision."
188,ToxicTom,"You're so dumb for buying this product, it's a total rip-off, what a waste of money."
189,JokesterJim,"I'm not offended by anything, except for people who get offended by everything, those people are the worst."
190,EmilyWong22,"I loved this movie, it's so inspiring and uplifting!"
191,SarcasticSam,"Wow, what a great example of exceptional filmmaking, said no one ever."
192,TechNoLogic,"This product is amazing, I've been using it for years and it's never failed me."
193,Hater3000,"You're an idiot for thinking this is a good idea, it's the worst thing I've ever seen."
194,ProfanePam,"This is freaking awesome, I don't care what the haters say, it's damn good!"
195,SpamBot2022,"Make money fast, click this link to earn thousands of dollars in just one day: http://getrichquick.com"
196,ToxicTom,"You're just a loser if you can't handle a little criticism, stop being so sensitive."
197,NeutralNancy,"I'm not sure about this, it's okay I guess, but it's not really my thing."
198,HateSpeechHarry,"People from that country are just not good at making movies, they should just stick to what they're good at."
199,HarassingHannah,"You're so stupid for thinking that, I'm going to keep commenting until you agree with me, you're just wrong."
200,HappyHelen,"I love this product, it's amazing!"
